City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,beaudesert,-27.9833,152.9833,19.49,58,92,0.8,AU,1718866208
1,mammoth lakes,37.6485,-118.9721,10.75,41,0,3.6,US,1718866208
2,stanley,54.868,-1.6985,13.77,79,0,4.63,GB,1718866132
3,raduzhny,62.0961,77.475,13.16,32,0,1.12,RU,1718866209
4,novouzensk,50.4592,48.1431,26.94,43,51,3.99,RU,1718866209
5,hermanus,-34.4187,19.2345,7.67,76,8,4.16,ZA,1718866209
6,newman,37.3138,-121.0208,21.13,49,0,0.45,US,1718866210
7,constantia,44.1833,28.65,29.38,53,6,4.26,RO,1718866210
8,wailua homesteads,22.0669,-159.378,26.24,87,100,9.77,US,1718866210
9,adamstown,-25.066,-130.1015,21.53,75,0,11.75,PN,1718866211
10,touros,-5.1989,-35.4608,23.27,91,21,4.56,BR,1718866211
11,ushuaia,-54.8,-68.3,-0.19,80,40,7.2,AR,1718866211
12,port-aux-francais,-49.35,70.2167,5.91,97,100,15.66,TF,1718866212
13,iqaluit,63.7506,-68.5145,1.85,93,100,2.06,CA,1718866212
14,waitangi,-43.9535,-176.5597,8.23,74,97,8.18,NZ,1718866212
15,kolobrzeg,54.1757,15.5834,16.09,64,15,6.53,PL,1718866213
16,mezokovesd,47.8167,20.5833,25.23,66,11,6.34,HU,1718866213
17,blackmans bay,-43.0167,147.3167,8.74,92,100,3.43,AU,1718866213
18,carnarvon,-24.8667,113.6333,22.36,41,0,6.44,AU,1718866214
19,celestun,20.8667,-90.4,25.4,90,100,7.0,MX,1718866214
20,albany,42.6001,-73.9662,23.29,93,100,1.14,US,1718865979
21,ancud,-41.8697,-73.8203,6.05,85,100,8.79,CL,1718866214
22,yellowknife,62.456,-114.3525,13.29,50,75,2.57,CA,1718866215
23,serdar,38.9764,56.2757,34.76,31,6,7.69,TM,1718866215
24,snowflake,34.5134,-110.0785,19.86,31,0,3.15,US,1718866215
25,olonkinbyen,70.9221,-8.7187,-0.03,98,100,10.57,SJ,1718866216
26,avarua,-21.2078,-159.775,20.03,94,20,0.51,CK,1718866216
27,polyarnyy,69.1989,33.4478,15.78,70,45,6.12,RU,1718866216
28,ribeira grande,38.5167,-28.7,18.22,77,75,2.57,PT,1718866217
29,longyearbyen,78.2186,15.6401,4.91,81,75,5.14,SJ,1718866217
30,whitehorse,60.7161,-135.0538,19.43,26,20,0.0,CA,1718866218
31,qarazhal,48.0078,70.7903,29.75,19,4,2.96,KZ,1718866218
32,west island,-12.1568,96.8225,29.99,74,75,7.2,CC,1718866219
33,kodiak,57.79,-152.4072,7.73,93,100,3.09,US,1718866219
34,lihue,21.9789,-159.3672,26.58,83,100,9.77,US,1718866220
35,tiksi,71.6872,128.8694,4.92,80,100,2.15,RU,1718866220
36,port elizabeth,-33.918,25.5701,15.17,78,0,1.54,ZA,1718866221
37,bolobo,-2.1667,16.2333,27.33,49,100,1.48,CD,1718866221
38,nabire,-3.3667,135.4833,28.0,83,97,0.85,ID,1718866152
39,mount pearl,47.5166,-52.7813,18.19,93,75,10.29,CA,1718866222
40,lompoc,34.6391,-120.4579,12.1,85,100,6.71,US,1718866222
41,edinburgh of the seven seas,-37.0676,-12.3116,13.08,74,100,9.01,SH,1718866222
42,inari,68.906,27.0288,9.42,95,100,3.4,FI,1718866223
43,udachny,66.4167,112.4,16.19,69,100,6.21,RU,1718866223
44,glendive,47.1053,-104.7125,14.79,72,0,3.6,US,1718866224
45,fort st. john,56.2499,-120.8529,14.94,58,40,2.57,CA,1718866180
46,christchurch,-43.5333,172.6333,11.06,84,100,6.69,NZ,1718866029
47,puerto natales,-51.7236,-72.4875,-7.73,95,31,1.41,CL,1718866225
48,papatowai,-46.5619,169.4708,6.72,91,57,3.25,NZ,1718866225
49,coishco,-9.0231,-78.6156,17.11,88,98,3.19,PE,1718866225
50,arraial do cabo,-22.9661,-42.0278,21.79,71,0,2.19,BR,1718866225
51,lask,51.5906,19.1328,17.29,77,3,0.89,PL,1718866226
52,luderitz,-26.6481,15.1594,16.31,38,56,2.68,NA,1718866226
53,grytviken,-54.2811,-36.5092,-3.49,77,57,4.96,GS,1718866226
54,bilibino,68.0546,166.4372,18.17,36,6,8.76,RU,1718866227
55,anadyr,64.75,177.4833,3.28,93,75,4.0,RU,1718866227
56,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,66,40,7.0,RU,1718866227
57,palmer,42.1584,-72.3287,22.99,72,0,1.54,US,1718866016
58,bambari,5.768,20.6757,26.36,78,42,1.04,CF,1718866228
59,margaret river,-33.95,115.0667,15.08,60,16,3.69,AU,1718866228
60,acarau,-2.8856,-40.12,23.93,87,22,5.39,BR,1718866229
61,manggar,-2.8833,108.2667,28.42,77,70,5.54,ID,1718866229
62,utrik,11.2278,169.8474,28.56,79,5,7.62,MH,1718866229
63,fale old settlement,-9.3852,-171.2468,29.16,76,16,5.73,TK,1718866230
64,la passe,45.5549,-0.8967,17.77,85,51,3.81,FR,1718866230
65,alice springs,-23.7,133.8833,14.75,58,40,3.09,AU,1718866230
66,tazovsky,67.4667,78.7,1.48,87,100,4.23,RU,1718866231
67,colares,38.7992,-9.4469,17.41,83,75,9.83,PT,1718866231
68,puerto ayora,-0.7393,-90.3518,21.42,99,100,3.01,EC,1718866231
69,sao joao da barra,-21.6403,-41.0511,20.99,90,0,3.33,BR,1718866231
70,atafu village,-8.5421,-172.5159,29.46,73,10,5.94,TK,1718866232
71,isla vista,34.4133,-119.861,17.13,78,0,0.0,US,1718866232
72,tehri,30.3833,78.4833,35.77,26,61,4.2,IN,1718866232
73,jackson,42.4165,-122.8345,21.93,37,0,0.0,US,1718866127
74,koster,-25.863,26.8976,13.84,18,0,2.11,ZA,1718866233
75,valencia,39.3333,-0.8333,22.28,51,35,6.03,ES,1718866233
76,bikenibeu village,1.3673,173.1241,29.98,79,40,3.6,KI,1718866234
77,villamontes,-21.25,-63.5,17.57,85,100,0.88,BO,1718866234
78,hadibu,12.65,54.0333,30.23,71,64,10.22,YE,1718866235
79,hamilton,39.1834,-84.5333,26.33,87,0,2.57,US,1718866104
80,isafjordur,66.0755,-23.124,2.71,74,94,2.71,IS,1718866236
81,huarmey,-10.0681,-78.1522,17.53,89,95,3.24,PE,1718866236
82,paraguacu paulista,-22.4128,-50.5758,15.73,48,0,2.3,BR,1718866171
83,druskininkai,54.0167,23.9667,15.25,57,6,5.84,LT,1718866237
84,zaysan,47.4667,84.8667,23.03,26,78,3.14,KZ,1718866237
85,aripuana,-9.1667,-60.6333,21.41,66,100,0.85,BR,1718866237
86,bethel,41.3712,-73.414,21.47,84,0,0.0,US,1718866156
87,mount gambier,-37.8333,140.7667,8.57,85,100,1.26,AU,1718866238
88,san patricio,28.017,-97.5169,29.35,89,100,8.9,US,1718866238
89,gazli,40.1333,63.45,37.87,14,0,6.15,UZ,1718866239
90,la pobla de farnals,39.5778,-0.3267,24.54,59,20,5.14,ES,1718866239
91,tofol,5.3248,163.0078,28.8,75,22,4.15,FM,1718866239
92,sarangani,5.4033,125.4636,26.22,83,100,6.31,PH,1718866240
93,freshwater,50.692,-1.5079,16.07,79,5,4.85,GB,1718866240
94,vila franca do campo,37.7167,-25.4333,18.27,99,65,1.03,PT,1718866240
95,rebola,3.7167,8.8333,25.62,94,40,1.03,GQ,1718866241
96,port mathurin,-19.6833,63.4167,23.35,74,3,10.64,MU,1718866241
97,punta del este,-34.9667,-54.95,13.26,94,0,1.79,UY,1718866241
98,port alfred,-33.5906,26.891,14.49,69,0,1.82,ZA,1718866241
99,hawaiian paradise park,19.5933,-154.9731,22.73,96,100,1.54,US,1718866242
100,kalabo,-14.97,22.6814,18.17,33,0,3.03,ZM,1718866242
101,sal rei,16.1833,-22.9167,22.73,84,99,4.79,CV,1718866242
102,nelson,-41.2833,173.2833,8.6,88,100,2.79,NZ,1718866060
103,aasiaat,68.7098,-52.8699,1.48,93,58,0.29,GL,1718866243
104,st ives,50.2086,-5.4875,14.24,94,20,3.09,GB,1718866243
105,kabalo,-6.05,26.9167,27.76,36,59,3.56,CD,1718866244
106,pisco,-13.7,-76.2167,17.03,82,100,2.57,PE,1718866244
107,sogndal,61.2283,7.1003,13.21,57,75,6.17,NO,1718866244
108,lingdong,46.5669,131.1453,15.79,99,100,1.77,CN,1718866245
109,port lincoln,-34.7333,135.8667,13.96,72,18,6.16,AU,1718866245
110,alofi,-19.0595,-169.9187,22.94,88,3,0.0,NU,1718866245
111,claremont,34.0967,-117.7198,20.05,82,0,3.09,US,1718866049
112,pauini,-7.7136,-66.9764,22.3,94,21,0.03,BR,1718866246
113,kisangani,0.5167,25.2,28.63,57,44,1.2,CD,1718866246
114,east london,-33.0153,27.9116,10.52,81,0,2.06,ZA,1718866247
115,buka,40.8108,69.1986,36.83,18,1,3.66,UZ,1718866247
116,cottage grove,44.8277,-92.9438,17.35,77,0,1.54,US,1718866200
117,rio pardo de minas,-15.6097,-42.5397,12.64,97,0,1.61,BR,1718866248
118,thompson,55.7435,-97.8558,9.09,93,75,1.54,CA,1718866248
119,badger,64.8,-147.5333,20.93,54,0,1.54,US,1718866248
120,salon,26.0333,81.45,41.57,28,87,5.0,IN,1718866248
121,prince rupert,54.3161,-130.3201,12.83,91,0,6.69,CA,1718866249
122,tangier,35.7806,-5.8137,19.64,73,20,4.12,MA,1718866249
123,qarqaraly,49.4058,75.4742,23.76,28,30,3.93,KZ,1718866249
